,max_msd,mean_msd,positive_ratio,negative_ratio,positive_combo,negative_combo
100,0.26320085744165944,0.023497031092512135,0.17872340425531916,0.34893617021276596,0,1
101,0.1767766952966369,0.018045565398828765,0.13615023474178403,0.1807511737089202,0,0
102,0.05808377131175212,0.006639005965095851,0.3258426966292135,0.1348314606741573,0,0
103,0.1767766952966369,0.013175000495033664,0.11990407673860912,0.18705035971223022,0,0
104,0.23570226039551584,0.012904720399531758,0.12035398230088495,0.19469026548672566,0,0
105,0.2445410951603477,0.011653897470834167,0.2890076845973939,0.37019712662880055,3,12
106,0.39593488142573413,0.020807871325789748,0.21626358219418157,0.34314756396775326,2,9
107,0.24443197374349793,0.011524209879310708,0.14909726266744322,0.1986022131624927,1,1
108,0.12963624321753373,0.01353954435157815,0.22630992196209587,0.2028985507246377,1,0
109,0.42426406871192857,0.026431880584797306,0.14630225080385853,0.25562700964630225,0,0
110,0.11785113019775792,0.002981675786258337,0.017482517482517484,0.027972027972027972,0,0
111,0.3535533905932738,0.026100022596259386,0.11361310133060389,0.3162743091095189,0,1
112,0.045808401071167126,0.005772169729916906,0.23788546255506607,0.7180616740088106,0,13
113,0.18213356485108037,0.017158024023195065,0.1124031007751938,0.15503875968992248,0,0
114,0.18070506630322877,0.016359825895874876,0.1494413407821229,0.24022346368715083,0,0
115,0.3535533905932738,0.02875568359717445,0.1691542288557214,0.4253731343283582,0,4
116,0.14142135623730953,0.013259459728155119,0.44661654135338347,0.22556390977443608,5,0
117,0.40406101782088427,0.014160194006058122,0.12967032967032968,0.2175824175824176,0,0
118,0.23570226039551598,0.016496162800865334,0.16055243849805784,0.13767803193785066,0,0
119,0.14936443607481406,0.007933953963972833,0.262343404568902,0.40825350036845987,0,1
120,0.24355900240869965,0.0189985319825374,0.38966900702106316,0.3350050150451354,10,4
121,0.22784551838233202,0.023984393092764983,0.21467889908256882,0.3211009174311927,1,1
122,0.19641855032959657,0.018319471514849393,0.2052313883299799,0.4818913480885312,0,9
123,0.1654124791704245,0.0032151610090743275,0.06488991888760139,0.08458864426419467,0,0
124,0.11785113019775785,0.015441342249320016,0.0861244019138756,0.22488038277511962,0,0
125,0.23570226039551584,0.02329477669081512,0.13214285714285715,0.29285714285714287,0,0
126,0.1767766952966369,0.014956691755781095,0.11731843575418995,0.11173184357541899,0,0
127,0.14368772412572792,0.008221723663224273,0.3233609166136219,0.4392106938255888,7,9
128,0.1174302333041945,0.01426527364577703,0.3620037807183365,0.17958412098298676,3,0
129,0.11152208802047087,0.010682486822305139,0.28043478260869564,0.5978260869565217,0,8
130,0.23570226039551584,0.01912256071338358,0.11476293103448276,0.3297413793103448,0,6
131,0.10101525445522101,0.004539615789994426,0.16964285714285715,0.08035714285714286,0,0
132,0.18987126531860996,0.016008624559821747,0.18684461391801716,0.2526215443279314,0,1
133,0.1793020766580174,0.012982636725925294,0.3061797752808989,0.6292134831460674,2,45
134,0.22728432252424735,0.012207166034030966,0.38025034770514604,0.29207232267037553,28,10
